Ticker,Sentiment_Score,MarketCap
LCID,-0.00998477929984779,16346392576
TEAM,0.012630446476600325,50406785024
CEG,0.01738317757009346,34001516544
ODFL,0.034201747418586184,44858634240
WDAY,0.041310563939634636,59387936768
MELI,0.0458856235107228,66693767168
PDD,0.04784641068447413,111229550592
ENPH,0.04970611596505163,18606465024
GFS,0.05374005305039788,33198733312
AEP,0.05536139793486896,41605410816
FANG,0.06389197776012709,27019225088
FAST,0.0657426528991263,32394582016
ON,0.06722795869737887,43783282688
CPRT,0.07075456711675933,41947877376
DDOG,0.07245324532453247,28337876992
KLAC,0.07555202541699763,68412915712
CDNS,0.07944400317712472,62220886016
IDXX,0.08042891183478952,42312577024
ASML,0.0846544876886418,271516336128
MRVL,0.09060365369340748,53285597184
MU,0.09069102462271646,74097041408
ALGN,0.09081016679904687,27373957120
ANSS,0.09139793486894361,26205509632
SGEN,0.0917077045274027,36497653760
CTAS,0.09569499602859413,49920909312
MNST,0.09722001588562351,60091621376
SNPS,0.09795075456711677,66340237312
CSGP,0.09860206513105639,33451171840
DXCM,0.09922954725972995,42713612288
WBD,0.10157267672756157,35128709120
VRTX,0.10382843526608422,88718934016
BKNG,0.10784749801429706,119147003904
EXC,0.1092057188244639,39862329344
PCAR,0.11254964257347103,44657573888
ISRG,0.11348689436060365,106414891008
ZS,0.1165709852598914,20233623552
LRCX,0.11914217633042097,93500637184
VRSK,0.12362986497220016,33668253696
CSX,0.12451945988880064,62818189312
SIRI,0.12469420174741862,18645688320
DLTR,0.12713264495631454,32352518144
AMD,0.1281493248610008,182341074944
AMAT,0.13517077045274029,124290949120
KDP,0.14888006354249403,46928363520
ORLY,0.1524702144559174,56568676352
ADP,0.15286735504368548,102594969600
CTSH,0.15374106433677523,35655335936
LULU,0.15624305003971406,48373645312
CRWD,0.16269938650306748,34589315072
ROST,0.16407466243050042,38555447296
MCHP,0.17075456711675935,46012555264
ADI,0.1727561556791104,93569613824
PANW,0.17953931691818906,64682217472
EA,0.18168387609213663,33364264960
ADSK,0.18458300238284353,43435532288
XEL,0.18575853852263702,32823230464
JD,0.18652444444444444,59774648320
FTNT,0.1895075456711676,45988929536
PAYX,0.1956949960285941,44671647744
CHTR,0.21291501191421763,63208378368
INTU,0.22263701350278,140256854016
TMUS,0.23285146942017476,163497017344
REGN,0.25920571882446386,85608906752
GEHC,0.2623913043478261,33626175488
MAR,0.26613979348689437,62630465536
ILMN,0.27957903097696585,29431896064
BKR,0.2845512311358221,36243574784
GILD,0.285385226370135,99887792128
NXPI,0.3014694201747419,55914676224
WBA,0.3036298649722002,25492097024
ABNB,0.3335893155258765,87952080896
KHC,0.34046724225495173,42290688000
BIIB,0.3408816521048451,39679574016
ZM,0.34551724137931034,20099164160
ADBE,0.3499285146942018,237289472000
AVGO,0.3918665607625099,364466864128
TXN,0.3989356632247816,151390830592
COST,0.41462271644162035,246443458560
MDLZ,0.44315329626687855,99959791616
TSLA,0.44760127084988094,791424139264
NVDA,0.4639396346306593,1103200911360
EBAY,0.49949960285941225,23271753728
PYPL,0.5120365667851702,70501711872
MRNA,0.523420814479638,38021783552
AMGN,0.5671485305798253,139352473600
QCOM,0.5920969023034155,131073245184
SBUX,0.5964972200158857,115436748800
NFLX,0.676219221604448,194842312704
INTC,0.6898411437648928,146621038592
HON,0.8801350277998411,124914286592
AZN,0.9494360603653693,218715652096
CSCO,1.4179030976965847,216222695424
AAPL,2.121485305798253,2828020482048
CMCSA,2.4795790309769656,189264887808
AMZN,2.603216838760922,1435840413696
GOOGL,6.325853852263702,1670527582208
GOOG,6.325853852263702,1671493844992
MSFT,9.695710881652104,2424341266432
META,11.185488482922954,801211940864
